line,model,pwbno,pwb name,process,prod_no,start_serial,lot size
FA01,jkts-001,12312,tidak tahu,di proses,0001,1,12000
FA02,jkts-002,12313,tidak tahu,di proses,0002,1,12000
FA03,jkts-003,12314,tidak tahu,di proses,0003,1,12000
FA04,jkts-004,12315,tidak tahu,di proses,0004,1,12000
FA05,jkts-005,12316,tidak tahu,di proses,0005,1,12000
FA06,jkts-006,12317,tidak tahu,di proses,0006,1,12000
FA07,jkts-007,12318,tidak tahu,di proses,0007,1,12000
FA08,jkts-008,12319,tidak tahu,di proses,0008,1,12000
FA09,jkts-009,12320,tidak tahu,di proses,0009,1,12000
FA10,jkts-010,12321,tidak tahu,di proses,0010,1,12000
FA11,jkts-011,12322,tidak tahu,di proses,0011,1,12000
FA12,jkts-012,12323,tidak tahu,di proses,0012,1,12000
FA13,jkts-013,12324,tidak tahu,di proses,0013,1,12000
FA14,jkts-014,12325,tidak tahu,di proses,0014,1,12000
FA15,jkts-015,12326,tidak tahu,di proses,0015,1,12000
FA16,jkts-016,12327,tidak tahu,di proses,0016,1,12000
